2026-03-13 15:25:00,390 | INFO | Using device=mps
2026-03-13 15:25:00,391 | INFO | Log file: /Users/taggertsmith/Desktop/COGS 185/FINAL/project/data/segmentation_outputs/run_mask2former.log
2026-03-13 15:27:33,124 | INFO | Using device=mps
2026-03-13 15:27:33,125 | INFO | Log file: /Users/taggertsmith/Desktop/COGS 185/FINAL/project/data/segmentation_outputs/run_mask2former.log
2026-03-13 15:28:12,877 | INFO | Using device=mps
2026-03-13 15:28:12,878 | INFO | Log file: /Users/taggertsmith/Desktop/COGS 185/FINAL/project/data/segmentation_outputs/run_mask2former.log
2026-03-13 15:28:59,470 | INFO | Using device=mps
2026-03-13 15:28:59,470 | INFO | Log file: /Users/taggertsmith/Desktop/COGS 185/FINAL/project/data/segmentation_outputs/run_mask2former.log
2026-03-13 15:33:34,795 | WARNING | Zero detections for ai_031_010_cam_00_frame0050
2026-03-13 15:33:51,977 | WARNING | Zero detections for ai_003_001_cam_00_frame0000
2026-03-13 15:34:09,235 | WARNING | Zero detections for ai_003_001_cam_00_frame0050
